Product_A,Product_B,count,support
Bag of Organic Bananas,Organic Hass Avocado,64761,0.026487312
Bag of Organic Bananas,Organic Strawberries,64702,0.026463181
Banana,Organic Strawberries,58330,0.023857026
Banana,Organic Avocado,55611,0.022744953
Banana,Organic Baby Spinach,53395,0.021838607
Bag of Organic Bananas,Organic Baby Spinach,52608,0.021516723
Banana,Strawberries,43180,0.017660662
Banana,Large Lemon,43038,0.017602584
Organic Hass Avocado,Organic Strawberries,42333,0.017314238
Bag of Organic Bananas,Organic Raspberries,42283,0.017293788
Organic Baby Spinach,Organic Strawberries,39773,0.016267195
Organic Baby Spinach,Organic Hass Avocado,36153,0.014786612
Organic Raspberries,Organic Strawberries,35533,0.014533031
Banana,Organic Fuji Apple,35153,0.014377611
Banana,Limes,33103,0.013539159
Banana,Cucumber Kirby,32840,0.013431592
Banana,Organic Whole Milk,32685,0.013368197
Organic Avocado,Organic Baby Spinach,32291,0.01320705
Banana,Organic Hass Avocado,32169,0.013157152
Banana,Honeycrisp Apple,29639,0.01212238
Large Lemon,Limes,28998,0.01186021
Bag of Organic Bananas,Organic Whole Milk,27599,0.011288018
Organic Hass Avocado,Organic Raspberries,26812,0.010966134
Large Lemon,Organic Avocado,25766,0.010538319
Banana,Seedless Red Grapes,25756,0.010534229
Bag of Organic Bananas,Organic Yellow Onion,25574,0.010459791
Organic Avocado,Organic Strawberries,25072,0.010254472
Organic Blueberries,Organic Strawberries,25025,0.010235249
Organic Strawberries,Organic Whole Milk,24767,0.010129727
Apple Honeycrisp Organic,Bag of Organic Bananas,24383,0.009972671
Bag of Organic Bananas,Organic Large Extra Fancy Fuji Apple,24337,0.009953857
Large Lemon,Organic Baby Spinach,24046,0.009834837
Bag of Organic Bananas,Organic Avocado,23961,0.009800072
Banana,Organic Raspberries,23791,0.009730542
Bag of Organic Bananas,Organic Zucchini,23673,0.00968228
Bag of Organic Bananas,Organic Lemon,23450,0.009591073
Limes,Organic Avocado,23047,0.009426245
Bag of Organic Bananas,Organic Blueberries,23005,0.009409067
Organic Garlic,Organic Yellow Onion,22923,0.009375529
Bag of Organic Bananas,Organic Cucumber,22802,0.00932604
Banana,Yellow Onions,22239,0.009095772
Bag of Organic Bananas,Organic Garlic,22230,0.009092091
Organic Hass Avocado,Organic Lemon,22027,0.009009064
Organic Baby Spinach,Organic Garlic,21818,0.008923583
Bag of Organic Bananas,Limes,21813,0.008921538
Limes,Organic Baby Spinach,21715,0.008881456
Organic Baby Spinach,Organic Zucchini,21365,0.008738306
Limes,Organic Hass Avocado,20816,0.008513764
Organic Hass Avocado,Organic Yellow Onion,20658,0.008449142
Bag of Organic Bananas,Large Lemon,20464,0.008369796
Organic Baby Spinach,Organic Yellow Onion,20455,0.008366115
Banana,Organic Zucchini,20257,0.008285133
Banana,Organic Blueberries,19907,0.008141982
Banana,Organic Garlic,19821,0.008106808
Limes,Organic Strawberries,19816,0.008104763
Bag of Organic Bananas,Organic Gala Apples,19768,0.008085131
Banana,Organic Grape Tomatoes,19589,0.00801192
Banana,Original Hummus,18861,0.007714167
Organic Baby Spinach,Organic Raspberries,18808,0.00769249
Limes,Organic Cilantro,18572,0.007595966
Bag of Organic Bananas,Strawberries,18388,0.00752071
Organic Garlic,Organic Hass Avocado,18354,0.007506804
Organic Cucumber,Organic Hass Avocado,18287,0.007479401
Apple Honeycrisp Organic,Banana,17839,0.007296168
Banana,Organic Gala Apples,17641,0.007215186
Organic Baby Spinach,Organic Whole Milk,17619,0.007206188
Organic Cucumber,Organic Strawberries,17587,0.0071931
Banana,Organic Baby Carrots,17493,0.007154654
Bag of Organic Bananas,Organic Grape Tomatoes,17470,0.007145247
Banana,Organic Yellow Onion,17374,0.007105983
Organic Strawberries,Organic Yellow Onion,17322,0.007084715
Large Lemon,Organic Strawberries,17322,0.007084715
Organic Hass Avocado,Organic Zucchini,17109,0.006997598
Banana,Blueberries,17002,0.006953834
Organic Baby Spinach,Organic Grape Tomatoes,16773,0.006860173
Organic Baby Spinach,Organic Cucumber,16746,0.00684913
Limes,Organic Garlic,16600,0.006789416
Bag of Organic Bananas,Organic Baby Carrots,16538,0.006764058
Banana,Sparkling Water Grapefruit,16454,0.006729702
Apple Honeycrisp Organic,Organic Strawberries,16353,0.006688393
Organic Grape Tomatoes,Organic Strawberries,16315,0.006672851
Organic Garlic,Organic Strawberries,16267,0.006653219
Cucumber Kirby,Organic Baby Spinach,16161,0.006609865
Bag of Organic Bananas,Organic Small Bunch Celery,16139,0.006600867
Large Lemon,Organic Garlic,16098,0.006584098
Banana,Michigan Organic Kale,16076,0.0065751
Organic Strawberries,Organic Zucchini,16071,0.006573055
Banana,Half & Half,16013,0.006549332
Cucumber Kirby,Organic Avocado,15973,0.006532972
Banana,Carrots,15948,0.006522747
Apple Honeycrisp Organic,Organic Hass Avocado,15920,0.006511295
Banana,Red Vine Tomato,15873,0.006492072
Organic Lemon,Organic Strawberries,15829,0.006474076
Banana,Organic Baby Arugula,15823,0.006471622
Banana,Red Peppers,15823,0.006471622
Organic Large Extra Fancy Fuji Apple,Organic Strawberries,15763,0.006447082
100% Whole Wheat Bread,Banana,15746,0.006440129
Large Lemon,Organic Hass Avocado,15738,0.006436857
Asparagus,Banana,15738,0.006436857
Bag of Organic Bananas,Organic Tomato Cluster,15695,0.00641927
