product_a,product_b,count,support
Bag of Organic Bananas,Organic Hass Avocado,64761,0.02648731156302991
Bag of Organic Bananas,Organic Strawberries,64702,0.026463180506032354
Banana,Organic Strawberries,58330,0.02385702635029624
Banana,Organic Avocado,55611,0.02274495272357833
Banana,Organic Baby Spinach,53395,0.021838606582788748
Bag of Organic Bananas,Organic Baby Spinach,52608,0.021516722822499307
Banana,Strawberries,43180,0.01766066171448297
Banana,Large Lemon,43038,0.01760258357730241
Organic Hass Avocado,Organic Strawberries,42333,0.01731423789622991
Bag of Organic Bananas,Organic Raspberries,42283,0.017293787847926897
Organic Baby Spinach,Organic Strawberries,39773,0.01626719542311559
Organic Baby Spinach,Organic Hass Avocado,36153,0.01478661192597737
Organic Raspberries,Organic Strawberries,35533,0.014533031327019994
Banana,Organic Fuji Apple,35153,0.014377610959917088
Banana,Limes,33103,0.01353915897949351
Banana,Cucumber Kirby,32840,0.013431591725419656
Banana,Organic Whole Milk,32685,0.013368196575680311
Organic Avocado,Organic Baby Spinach,32291,0.01320705019505256
Banana,Organic Hass Avocado,32169,0.013157152077193207
Banana,Honeycrisp Apple,29639,0.012122379633060693
Large Lemon,Limes,28998,0.011860210013816052
Bag of Organic Bananas,Organic Whole Milk,27599,0.011288017662297718
Organic Hass Avocado,Organic Raspberries,26812,0.010966133902008277
Large Lemon,Organic Avocado,25766,0.010538318891509222
Banana,Seedless Red Grapes,25756,0.010534228881848618
Bag of Organic Bananas,Organic Yellow Onion,25574,0.010459790706025648
Organic Avocado,Organic Strawberries,25072,0.010254472221063387
Organic Blueberries,Organic Strawberries,25025,0.010235249175658554
Organic Strawberries,Organic Whole Milk,24767,0.010129726926415
Apple Honeycrisp Organic,Bag of Organic Bananas,24383,0.009972670555447852
Bag of Organic Bananas,Organic Large Extra Fancy Fuji Apple,24337,0.00995385651100908
Large Lemon,Organic Baby Spinach,24046,0.009834837229885537
Bag of Organic Bananas,Organic Avocado,23961,0.009800072147770412
Banana,Organic Raspberries,23791,0.009730541983540165
Bag of Organic Bananas,Organic Zucchini,23673,0.009682279869545053
Bag of Organic Bananas,Organic Lemon,23450,0.00959107265411361
Limes,Organic Avocado,23047,0.009426245264791315
Bag of Organic Bananas,Organic Blueberries,23005,0.009409067224216784
Organic Garlic,Organic Yellow Onion,22923,0.00937552914499984
Bag of Organic Bananas,Organic Cucumber,22802,0.009326040028106546
Banana,Yellow Onions,22239,0.009095772484214608
Bag of Organic Bananas,Organic Garlic,22230,0.009092091475520064
Organic Hass Avocado,Organic Lemon,22027,0.009009064279409828
Organic Baby Spinach,Organic Garlic,21818,0.008923583077503228
Bag of Organic Bananas,Limes,21813,0.008921538072672928
Limes,Organic Baby Spinach,21715,0.00888145597799902
Organic Baby Spinach,Organic Zucchini,21365,0.008738305639877922
Limes,Organic Hass Avocado,20816,0.008513764109510826
Organic Hass Avocado,Organic Yellow Onion,20658,0.008449141956873301
Bag of Organic Bananas,Large Lemon,20464,0.008369795769457608
Organic Baby Spinach,Organic Yellow Onion,20455,0.008366114760763065
Banana,Organic Zucchini,20257,0.00828513256948313
Banana,Organic Blueberries,19907,0.008141982231362031
Banana,Organic Garlic,19821,0.008106808148280846
Limes,Organic Strawberries,19816,0.008104763143450544
Bag of Organic Bananas,Organic Gala Apples,19768,0.00808513109707965
Banana,Organic Grape Tomatoes,19589,0.008011919924154861
Banana,Original Hummus,18861,0.0077141672208629756
Organic Baby Spinach,Organic Raspberries,18808,0.007692490169661781
Limes,Organic Cilantro,18572,0.007595965941671555
Bag of Organic Bananas,Strawberries,18388,0.007520709763916463
Organic Garlic,Organic Hass Avocado,18354,0.007506803731070413
Organic Cucumber,Organic Hass Avocado,18287,0.0074794006663443735
Apple Honeycrisp Organic,Banana,17839,0.007296168233549368
Banana,Organic Gala Apples,17641,0.007215186042269432
Organic Baby Spinach,Organic Whole Milk,17619,0.007206188021016106
Organic Cucumber,Organic Strawberries,17587,0.007193099990102177
Banana,Organic Baby Carrots,17493,0.00715465389929251
Bag of Organic Bananas,Organic Grape Tomatoes,17470,0.007145246877073123
Banana,Organic Yellow Onion,17374,0.007105982784331336
Organic Strawberries,Organic Yellow Onion,17322,0.007084714734096202
Large Lemon,Organic Strawberries,17322,0.007084714734096202
Organic Hass Avocado,Organic Zucchini,17109,0.006997597528325362
Banana,Blueberries,17002,0.0069538344249569116
Organic Baby Spinach,Organic Grape Tomatoes,16773,0.006860173203729107
Organic Baby Spinach,Organic Cucumber,16746,0.006849130177645479
Limes,Organic Garlic,16600,0.006789416036600679
Bag of Organic Bananas,Organic Baby Carrots,16538,0.006764057976704941
Banana,Sparkling Water Grapefruit,16454,0.006729701895555877
Apple Honeycrisp Organic,Organic Strawberries,16353,0.006688392797983789
Organic Grape Tomatoes,Organic Strawberries,16315,0.006672850761273498
Organic Garlic,Organic Strawberries,16267,0.006653218714902605
Cucumber Kirby,Organic Baby Spinach,16161,0.006609864612500215
Bag of Organic Bananas,Organic Small Bunch Celery,16139,0.006600866591246889
Large Lemon,Organic Garlic,16098,0.006584097551638417
Banana,Michigan Organic Kale,16076,0.006575099530385091
Organic Strawberries,Organic Zucchini,16071,0.006573054525554789
Banana,Half & Half,16013,0.006549332469523293
Cucumber Kirby,Organic Avocado,15973,0.006532972430880882
Banana,Carrots,15948,0.006522747406729375
Apple Honeycrisp Organic,Organic Hass Avocado,15920,0.006511295379679686
Banana,Red Vine Tomato,15873,0.006492072334274853
Organic Lemon,Organic Strawberries,15829,0.006474076291768201
Banana,Organic Baby Arugula,15823,0.00647162228597184
Banana,Red Peppers,15823,0.00647162228597184
Organic Large Extra Fancy Fuji Apple,Organic Strawberries,15763,0.006447082228008222
100% Whole Wheat Bread,Banana,15746,0.0064401292115851974
Large Lemon,Organic Hass Avocado,15738,0.006436857203856715
Asparagus,Banana,15738,0.006436857203856715
Bag of Organic Bananas,Organic Tomato Cluster,15695,0.006419270162316124
